t;e;i;d;set
9.837;383.0;0.5;0.0;0
9.84;384.0;0.5;0.0;0
9.843;384.0;0.5;0.0;0
9.846;384.0;0.5;0.0;0
9.849;384.0;0.5;0.0;0
9.852;385.0;0.5;0.0;0
9.855;385.0;0.5;0.0;0
9.858;386.0;0.5;0.0;0
9.861;386.0;0.5;0.0;0
9.864;386.0;0.5;0.0;0
9.867;387.0;0.5;1.0;0
9.870000000000001;387.0;0.5;1.0;0
9.873000000000001;388.0;0.5;1.0;0
9.876000000000001;388.0;0.5;1.0;0
9.879000000000001;389.0;0.5;1.0;0
9.882;389.0;0.5;1.0;0
9.885;390.0;0.5;1.0;0
9.888;390.0;0.5;1.0;0
9.891;391.0;0.5;1.0;0
9.894;392.0;0.5;1.0;0
9.897;392.0;0.5;1.0;0
9.9;393.0;0.5;1.0;0
9.903;394.0;0.5;1.0;0
9.906;394.0;0.5;1.0;0
9.909;395.0;0.5;1.0;0
9.912;396.0;0.5;1.0;0
9.915000000000001;396.0;0.5;1.0;0
9.918000000000001;397.0;0.5;1.0;0
9.921000000000001;398.0;0.5;1.0;0
9.924000000000001;398.0;0.5;1.0;0
9.927;399.0;0.5;1.0;0
9.93;-400.0;-0.5;1.0;0
9.933;-400.0;-0.5;0.0;0
9.936;-399.0;-0.5;0.0;0
9.939;-398.0;-0.5;0.0;0
9.942;-398.0;-0.5;0.0;0
9.945;-397.0;-0.5;0.0;0
9.948;-396.0;-0.5;0.0;0
9.951;-396.0;-0.5;0.0;0
9.954;-395.0;-0.5;0.0;0
9.957;-394.0;-0.5;0.0;0
9.96;-394.0;-0.5;0.0;0
9.963000000000001;-393.0;-0.5;0.0;0
9.966000000000001;-393.0;-0.5;0.0;0
9.969000000000001;-392.0;-0.5;0.0;0
9.972000000000001;-391.0;-0.5;0.0;0
9.975;-391.0;-0.5;0.0;0
9.978;-390.0;-0.5;0.0;0
9.981;-390.0;-0.5;0.0;0
9.984;-389.0;-0.5;0.0;0
9.987;-389.0;-0.5;0.0;0
9.99;-388.0;-0.5;0.0;0
9.993;-388.0;-0.5;0.0;0
9.996;-388.0;-0.5;0.0;0
9.999;-387.0;-0.5;1.0;0
10.002;-387.0;-0.5;1.0;0
10.005;-386.0;-0.5;1.0;0
10.008000000000001;-386.0;-0.5;1.0;0
10.011000000000001;-386.0;-0.5;1.0;0
10.014000000000001;-386.0;-0.5;1.0;0
10.017000000000001;-385.0;-0.5;1.0;0
10.020000000000001;-385.0;-0.5;1.0;0
10.023;-385.0;-0.5;1.0;0
10.026;-385.0;-0.5;1.0;0
10.029;-385.0;-0.5;1.0;0
