tiempo;error;tiempoDev;derivada
85374;316;2;350
85424;360;6;116
85474;368;4;-175
85524;338;5;-160
85574;263;2;-400
85624;156;1;-800
85674;31;1;-800
85724;-86;1;-800
85774;-202;1;-700
85824;-286;1;-800
85874;-331;6;-133
85924;-346;4;175
85974;-323;4;200
86024;-271;3;233
86074;-171;1;800
86124;-70;1;800
86174;47;1;800
86224;156;2;400
86274;241;1;800
86324;301;3;233
86374;323;12;58
86424;309;9;-77
86474;256;1;-700
86524;179;1;-800
86574;86;1;-800
86624;-23;1;-800
86674;-133;1;-800
86724;-210;3;-266
86774;-271;4;-200
86824;-301;9;-77
86874;-294;23;30
86924;-256;3;233
86974;-187;2;400
87024;-109;2;400
87074;-7;2;400
87124;94;2;400
87174;179;1;800
87224;233;4;200
87274;271;6;133
87324;271;22;36
87374;241;3;-233
87424;179;1;-800
87474;109;2;-400
87524;15;2;-400
87574;-70;2;-400
87624;-148;3;-266
87674;-210;4;-200
87724;-248;8;-87
87774;-256;20;-40
87824;-233;5;160
87874;-179;1;800
87924;-117;2;400
87974;-39;2;400
88024;47;2;400
88074;117;2;400
88124;179;3;266
88174;218;6;133
88224;225;18;38
88274;210;5;-160
88324;179;5;-160
88374;117;2;-400
88424;47;3;-233
88474;-31;3;-266
88524;-101;2;-350
88574;-164;2;-400
88624;-202;4;-175
88674;-210;16;-50
88724;-202;29;27
88774;-171;6;133
88824;-117;1;800
88874;-54;1;800
88924;7;3;233
88974;70;3;266
89024;133;2;400
89074;164;6;133
89124;187;12;66
89174;179;19;-42
89224;156;6;-133
89274;117;4;-200
89324;54;1;-800
89374;0;4;-175
89424;-54;4;-175
89474;-117;3;-266
89524;-148;8;-100
89574;-164;14;-57
89624;-164;16;43
