tiempo;angulo;integral;derivada
25866;-5;-50;0
25872;-5;-50;0
25878;-5;-50;0
25884;-5;-50;0
25890;-5;-50;0
25896;-5;-50;0
25902;-5;-50;0
25911;-5;-50;0
25917;-5;-50;0
25923;-5;-50;0
25929;-5;-50;0
25935;-5;-50;0
25938;-5;-50;0
25944;-4;-50;0
25950;-4;-50;0
25956;-4;-50;0
25965;-4;-50;0
25971;-4;-50;0
25977;-4;-50;0
25983;-3;-50;0
25989;-3;-50;0
25995;-3;-50;0
26001;-3;-50;0
26004;-3;-50;0
26010;-3;-50;0
26022;-3;-50;0
26028;-3;-50;0
26034;-3;-50;0
26040;-3;-50;0
26046;-3;-50;0
26055;-2;-50;0
26061;-2;-50;0
26067;-2;-50;0
26073;-2;-50;0
26079;-2;-50;0
26085;-1;-50;0
26091;-1;-50;0
26097;-1;-50;0
26103;-1;-50;0
26112;-1;-50;0
26118;-1;-50;0
26124;-1;-50;0
26133;-1;-50;0
26139;0;-50;0
26145;0;-50;0
26151;0;-50;0
26157;0;-50;0
26163;0;-50;0
26169;1;-43;0
26178;1;-22;0
26184;1;-8;0
26190;1;6;0
26196;1;20;0
26202;1;34;0
26211;1;50;0
26217;1;50;0
26223;1;50;0
26229;1;50;0
26235;1;50;0
26241;1;50;0
26247;2;50;0
26256;2;50;0
26262;2;50;0
26268;2;50;0
26274;2;50;0
26280;2;50;0
26286;2;50;0
26292;2;50;0
26298;2;50;0
26304;2;50;0
26313;2;50;0
26319;2;50;0
26325;2;50;0
26331;2;50;0
26337;2;50;0
26340;2;50;0
26346;2;50;0
26352;2;50;0
26358;2;50;0
26364;2;50;0
26370;2;50;0
26373;2;50;0
26379;2;50;0
26385;2;50;0
26391;2;50;0
26397;2;50;0
26403;2;50;0
26409;2;50;0
26415;2;50;0
26421;2;50;0
26427;2;50;0
26436;2;50;0
26442;2;50;0
26448;2;50;0
26454;1;50;0
26460;1;50;0
26466;1;50;0
26472;1;50;0
26481;1;50;0
26487;1;50;0
26493;1;50;0
26499;1;50;0
26505;1;50;0
26514;1;50;0
26520;1;50;0
26526;1;50;0
26532;1;50;0
26538;1;50;0
26544;1;50;0
26550;1;50;0
26559;1;50;0
26565;1;50;0
26571;0;50;0
26577;0;50;0
26583;0;50;0
26589;0;50;0
26595;0;50;0
26598;0;50;0
26604;0;50;0
26610;0;50;0
26616;0;50;0
26622;0;50;0
26628;0;50;0
26637;0;50;0
26649;-1;29;0
26655;-1;15;0
26661;-1;1;0
26667;-1;-13;0
26673;-1;-27;0
26676;-1;-34;0
26682;-1;-48;0
26688;-1;-50;0
26694;-1;-50;0
26706;-1;-50;0
26712;-1;-50;0
26718;-1;-50;0
26727;-1;-50;0
26733;-1;-50;0
26739;-1;-50;0
26745;-1;-50;0
26751;-1;-50;0
26757;-1;-50;0
26763;-1;-50;0
26772;-1;-50;0
26778;-1;-50;0
26784;-1;-50;0
26790;-1;-50;0
26796;-1;-50;0
26808;-1;-50;0
26814;-1;-50;0
26820;-1;-50;0
26826;-1;-50;0
26832;-1;-50;0
26838;-1;-50;0
26844;-1;-50;0
26850;-1;-50;0
26856;-1;-50;0
26862;-1;-50;0
27009;-1;-50;0
27015;-1;-50;0
27021;-1;-50;0
27108;-1;-50;0
27114;-1;-50;0
27123;-1;-50;0
27177;-1;-50;0
27186;-1;-50;0
27198;-1;-50;0
27225;-1;-50;0
27231;-1;-50;0
27237;-1;-50;0
27243;-1;-50;0
27249;-1;-50;0
27255;-1;-50;0
27261;-1;-50;0
27267;-1;-50;0
27273;-1;-50;0
27279;-1;-50;0
27288;-1;-50;0
27294;-1;-50;0
27300;-1;-50;0
27306;-1;-50;0
27312;-1;-50;0
27318;-1;-50;0
27324;-1;-50;0
27330;-1;-50;0
27336;-1;-50;0
27345;-1;-50;0
27360;-1;-50;0
27366;-1;-50;0
27372;-1;-50;0
27378;-1;-50;0
27384;-1;-50;0
27390;-1;-50;0
27399;-1;-50;0
27405;-1;-50;0
27411;-1;-50;0
27423;-1;-50;0
27429;-1;-50;0
27435;-1;-50;0
27441;-1;-50;0
27447;-1;-50;0
27456;-1;-50;0
27462;-1;-50;0
27468;-1;-50;0
27474;-1;-50;0
27486;-1;-50;0
27492;-1;-50;0
27501;-1;-50;0
27507;-1;-50;0
27513;-1;-50;0
27519;-1;-50;0
27525;-1;-50;0
27531;-1;-50;0
27546;-1;-50;0
27558;-1;-50;0
27567;-1;-50;0
27573;-1;-50;0
27579;-1;-50;0
27585;-1;-50;0
27591;-1;-50;0
27597;-1;-50;0
27603;-1;-50;0
27609;-1;-50;0
27615;-1;-50;0
27624;-1;-50;0
27630;-1;-50;0
27636;-1;-50;0
27642;-1;-50;0
27648;-1;-50;0
27660;-1;-50;0
27669;-1;-50;0
27675;-1;-50;0
27681;-1;-50;0
27693;-1;-50;0
27702;-1;-50;0
27708;-1;-50;0
27714;-1;-50;0
27720;-1;-50;0
27726;-1;-50;0
27735;-1;-50;0
27741;-1;-50;0
27747;-1;-50;0
27753;-1;-50;0
27759;-1;-50;0
27765;-1;-50;0
27771;-1;-50;0
27780;-1;-50;0
27786;-1;-50;0
27792;-1;-50;0
27798;-1;-50;0
27804;-1;-50;0
27810;-1;-50;0
27816;-1;-50;0
27819;-1;-50;0
27825;-1;-50;0
27831;-1;-50;0
27837;-1;-50;0
27843;-1;-50;0
27849;-1;-50;0
27858;-1;-50;0
27864;-1;-50;0
27870;-1;-50;0
27876;-1;-50;0
27882;-1;-50;0
27888;-1;-50;0
27894;-1;-50;0
27900;-1;-50;0
27906;-1;-50;0
27915;-1;-50;0
27921;-1;-50;0
27927;-1;-50;0
27933;-1;-50;0
27939;-1;-50;0
27945;-1;-50;0
27951;-1;-50;0
27972;-1;-50;0
27984;-1;-50;0
27996;-1;-50;0
28008;-1;-50;0
28017;-1;-50;0
28047;-1;-50;0
28062;-1;-50;0
28083;-1;-50;0
28086;-1;-50;0
28098;-1;-50;0
28110;-1;-50;0
28116;-1;-50;0
28122;-1;-50;0
28134;-1;-50;0
28143;-1;-50;0
28149;-1;-50;0
28155;-1;-50;0
28326;-1;-50;0
28329;-1;-50;0
28332;-1;-50;0
28464;-1;-50;0
28470;-1;-50;0
28500;-1;-50;0
28524;-1;-50;0
28527;-1;-50;0
28536;-1;-50;0
28542;-1;-50;0
28569;-1;-50;0
28572;-1;-50;0
28599;-1;-50;0
28602;-1;-50;0
28605;-1;-50;0
28611;-1;-50;0
28620;-1;-50;0
28632;-1;-50;0
28644;-1;-50;0
28671;-1;-50;0
28677;-1;-50;0
28689;-1;-50;0
28695;-1;-50;0
28701;-1;-50;0
28707;-1;-50;0
28713;-1;-50;0
28722;-1;-50;0
28728;-1;-50;0
28734;-1;-50;0
28740;-1;-50;0
28746;-1;-50;0
28755;-1;-50;0
