tiempo;angulo;tiempoDev;derivada
25113;-145;3;-133
25119;-145;3;-133
25125;-145;3;-133
25131;-145;3;-133
25140;-145;3;-133
25146;-144;47;8
25152;-143;4;75
25158;-141;2;200
25164;-139;5;60
25170;-137;4;100
25176;-136;3;100
25182;-135;3;133
25188;-133;2;200
25194;-130;2;200
25200;-128;2;200
25206;-124;3;300
25212;-121;4;225
25218;-117;1;500
25224;-114;4;225
25230;-111;4;250
25236;-109;4;250
25242;-105;3;366
25251;-99;3;366
25257;-95;3;366
25263;-90;3;600
25269;-86;3;400
25275;-82;3;433
25284;-73;3;666
25290;-69;4;500
25296;-65;3;466
25302;-60;3;700
25308;-55;3;700
25311;-52;3;466
25314;-50;3;733
25320;-45;3;733
25326;-40;3;733
25332;-35;3;766
25338;-29;3;733
25344;-24;3;533
25350;-18;3;766
25356;-13;3;800
25362;-7;3;533
25368;-2;3;800
25374;3;3;733
25380;9;3;500
25386;15;3;766
25392;20;4;575
25398;25;4;575
25404;31;3;766
25410;36;4;550
25419;43;2;750
25425;48;3;733
25431;53;2;700
25440;61;3;466
25446;65;4;525
25452;70;3;666
25458;75;3;666
25464;80;3;633
25470;85;3;400
25476;89;3;400
25485;94;3;400
25491;98;3;400
25497;101;4;300
25503;104;4;275
25509;107;2;250
25515;111;3;333
25521;115;2;250
25530;119;3;166
25536;121;3;166
25542;123;5;180
25548;125;6;150
25554;127;4;100
25560;129;3;133
25566;131;4;100
25572;132;3;133
25578;133;3;133
25587;135;4;100
25599;136;8;50
25608;137;8;50
25614;137;8;50
25620;137;8;50
25626;137;8;50
25632;136;26;-15
25638;135;8;-50
25644;134;8;-50
25653;133;5;-80
25659;132;8;-50
25665;130;3;-133
25671;129;2;-200
25677;127;2;-200
25683;125;2;-200
25689;122;2;-250
25695;120;2;-250
25701;117;2;-250
25707;115;3;-133
25713;112;2;-250
25722;107;2;-250
25728;103;2;-250
25734;100;4;-275
25743;95;4;-275
25749;91;2;-300
25755;88;3;-400
25761;84;4;-300
25767;79;2;-600
25773;75;3;-433
25779;70;3;-466
25788;63;2;-700
25794;58;3;-466
25800;53;3;-466
25806;49;4;-550
25812;44;3;-733
25818;39;3;-500
25824;34;3;-533
25833;27;4;-575
25839;21;3;-533
25845;16;3;-533
25848;13;3;-766
25878;-13;3;-533
25884;-18;3;-533
25890;-23;3;-766
25896;-29;3;-766
25902;-34;3;-500
25908;-39;3;-500
25914;-43;4;-550
25920;-48;3;-733
25926;-53;2;-700
25935;-60;2;-700
25941;-64;3;-466
25947;-68;3;-466
25953;-72;3;-466
25959;-77;2;-650
25965;-81;3;-433
25971;-85;3;-400
25980;-91;2;-600
25986;-94;2;-300
25992;-97;5;-240
26001;-103;4;-275
26007;-106;4;-275
26013;-109;3;-366
26019;-111;2;-250
26025;-114;1;-500
26031;-116;2;-250
26037;-118;5;-180
26043;-121;3;-166
26049;-123;4;-125
26055;-125;3;-166
26061;-126;3;-133
26070;-128;4;-125
26076;-129;3;-133
26082;-130;6;-66
26088;-131;4;-100
26094;-131;4;-100
26103;-131;4;-100
26109;-131;4;-100
26115;-131;4;-100
26118;-131;4;-100
26121;-131;4;-100
26127;-131;4;-100
26130;-130;4;-100
26136;-129;46;8
26142;-128;6;66
26151;-125;4;125
26160;-123;3;166
26169;-120;3;166
26181;-117;5;100
26187;-115;4;100
26193;-113;5;200
26199;-109;3;333
26205;-106;4;275
26214;-101;1;500
26220;-99;4;275
26226;-95;2;250
26232;-91;3;366
26238;-87;3;400
26241;-86;3;400
26244;-84;3;400
26247;-82;4;325
26277;-61;3;700
26283;-57;3;466
26316;-32;3;500
26427;57;3;466
26445;69;4;525
26451;74;3;666
26460;80;3;433
26466;83;2;300
26472;86;1;700
26478;89;2;300
26484;92;2;300
26490;95;3;366
26496;99;3;366
26502;102;4;275
26508;104;2;250
26517;108;2;250
26529;112;3;166
26538;114;4;125
26544;116;4;125
26550;117;4;100
26556;118;5;100
26562;120;4;125
26568;121;5;80
26574;122;5;80
26580;122;8;62
26586;123;8;50
26592;123;8;50
26598;123;8;50
26607;122;21;-19
26619;121;11;-45
26622;121;11;-45
26655;114;3;-166
26664;111;4;-125
26670;109;5;-200
26676;107;3;-200
26682;108;3;-200
26688;109;3;166
26697;111;9;55
26703;114;2;250
26709;116;4;250
26718;120;2;250
26724;122;3;133
26730;123;3;133
26736;125;2;200
26742;127;3;166
26745;128;3;166
26751;130;6;133
26757;131;3;133
26763;133;5;80
26769;133;3;133
26775;134;10;40
26781;134;10;40
26787;135;10;40
26790;135;15;26
26796;134;15;26
26802;134;9;-44
26808;134;9;-44
26814;134;9;-44
26820;133;22;-18
26826;133;22;-18
26832;132;22;-18
26838;131;14;-28
26844;131;5;-80
26850;131;5;-80
26856;131;5;-80
26862;132;20;20
26868;133;9;44
26877;133;9;44
26886;133;9;44
26892;133;9;44
