tiempo;error;integral;derivada;setPoint
23550;41;-1488;-45;1020;
23556;41;-1478;-45;1020;
23562;92;-1460;-45;1020;
23568;142;-1420;-45;1020;
23574;244;-1366;-45;1020;
23580;292;-1291;-45;1020;
23586;384;-1189;-45;1020;
23592;482;-1059;-45;1020;
23598;578;-902;-45;1020;
23604;719;-705;-45;1020;
23610;857;-474;-809;1020;
23616;953;-209;-809;1020;
23622;1086;94;-809;1020;
23628;1220;429;-809;1020;
23634;1300;793;-809;1020;
23640;1433;1195;-809;1020;
23646;1552;1625;-809;1020;
23652;1626;2085;-809;1020;
23658;1751;2581;-809;1020;
23664;1833;3097;-809;1020;
23670;1944;3647;-1531;1020;
23676;2055;4222;-1531;1020;
23682;2120;4815;-1531;1020;
23688;2179;5433;-1531;1020;
23694;2245;6069;-1531;1020;
23700;2349;6735;-1531;1020;
23706;2408;7418;-1531;1020;
23712;2451;8116;-1531;1020;
23718;2556;8835;-1531;1020;
23724;2569;9564;-1531;1020;
23730;2658;10000;-1402;1020;
23739;2740;10000;-1402;1020;
23745;2776;10000;-1402;1020;
23751;2819;10000;-1402;1020;
23757;2872;10000;-1402;1020;
23763;2908;10000;-1402;1020;
23772;2968;10000;-1402;1020;
23778;2998;10000;-1402;1020;
23784;3050;10000;-1402;1020;
23790;3080;10000;-1332;1020;
23796;3071;10000;-1332;1020;
23802;3101;10000;-1332;1020;
23808;3092;10000;-1332;1020;
23814;3083;10000;-1332;1020;
23820;3129;10000;-1332;1020;
23826;3114;10000;-1332;1020;
23832;3105;10000;-1332;1020;
23838;3128;10000;-1332;1020;
23844;3119;10000;-1332;1020;
23850;3110;10000;-958;1020;
23856;3134;10000;-958;1020;
23862;3118;10000;-958;1020;
23868;3119;10000;-958;1020;
23874;3110;10000;-958;1020;
23880;3127;10000;-958;1020;
23886;3079;10000;-958;1020;
23892;3102;10000;-958;1020;
23898;3087;10000;-958;1020;
23904;3087;10000;-958;1020;
23910;3039;10000;-825;1020;
23916;3056;10000;-825;1020;
